Table 1
,,,,,,,
,,,১০২ খুলনা-৪,,,,
,,,,,,,
,কেন্দ্র,মোট ভোটার,আব্দুস সালাম মূর্শেদী ,আজিজুল বারী হেলাল ,প্রদত্ত ভোট,শতকরা হার,
,,,নৌকা ,ধানের শীষ ,,,
,"56 জে, বি, এম মাধ্যমিক বিদ্যালয় (নতুন ভবন), মৈশাঘুণী (মহিলা ভোটকেন্দ্র)",2189,1065,183,1523,69.58%,
,"57 জে.এম.এম সরকারী প্রাথমিক বিদ্যালয়, জোয়ার (পুরুষ ও মহিলা ভোটকেন্দ্র)",1249,937,26,1072,85.83%,
,"58 মোছাব্বরপুর আদর্শ সরকারী প্রাথমিক বিদ্যালয়, মোছাব্বরপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2334,1886,8,1933,82.82%,
,"59 নন্দনপুর দাখিল মাদ্রাসা, নন্দনপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2847,2099,3,2200,77.27%,
,"60 ভদ্রগাতী সরকারী প্রাথমিক বিদ্যালয়, ভদ্রগাতী। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1988,1374,0,1446,72.74%,
,"61 গাজী মেমোরিয়াল মাধ্যমিক বিদ্যালয় (দোতলা), রহিমনগর। (পুরুষ ভোটকেন্দ্র)",2059,1685,19,1727,83.88%,
,"62 গাজী মেমোরিয়াল মাধ্যমিক বিদ্যালয় (নিচতলা), রহিমনগর। (মহিলা ভোটকেন্দ্র)",2235,1431,54,1549,69.31%,
,"63 রহিমনগর সরকারী প্রাথমিক বিদ্যালয়, রহিমনগর। (পুরুষ ও মহিলা ভোট কেন্দ্র)",2583,2068,25,2146,83.08%,
,"64 রুপসা কলেজ (উত্তর ভবন), বাগমারা। (মহিলা ভোটকেন্দ্র)",3934,2680,103,2855,72.57%,
,"65 রুপসা কলেজ (পশ্চিম ভবন),বাগমারা। (পুরুষ ভোটার)",3451,2446,62,2571,74.50%,
,"66 বাগমারা সরকারী প্রাথমিক বিদ্যালয়, বাগমারা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1709,1111,69,1224,71.62%,
,"67 বাগমারা দক্ষিণপাড়া সরকারী প্রাথমিক বিদ্যালয়, বাগমারা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2889,1927,178,2159,74.73%,
,"68 নবিনগর ইসলামিক মিশন মাধ্যমিক বিদ্যালয়, জাবুসা। (মহিলা ভোটকেন্দ্র)",2100,1292,72,1453,69.19%,
,"69 জাবুসা সরকারী প্রাঃ বিদ্যালয়, জাবুসা। (পুরুষ ভোটকেন্দ্র)",2083,1485,61,1647,79.07%,
,"70 মেহেরুন্নেছা সরকারী প্রাথমিক বিদ্যালয়, নিকলাপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",3532,2714,66,2901,82.13%,
,"71 শ্রীরামপুর সরকারী প্রাথমিক বিদ্যালয়, শ্রীরামপুর। (মহিলা ভোটকেন্দ্র)",2130,1399,200,1667,78.26%,
,"72 এন, এন, এস, কে মহিলা দাখিল মাদ্রাসা, শ্রীরামপুর। (পুরুষ ভোটকেন্দ্র)",2151,1390,183,1622,75.41%,
,"73 নৈহাটী মাধ্যমিক বিদ্যালয়, নৈহাটী। (মহিলা ভোটকেন্দ্র)",2666,2101,52,2212,82.97%,
,"74 নৈহাটী সরকারী প্রাথমিক বিদ্যালয়, নৈহাটী (পুরুষ ভোটকেন্দ্র)",2616,1895,81,2026,77.45%,
,"75 ইলাইপুর সরকারী প্রাথমিক বিদ্যালয়, ইলাইপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",3968,2505,103,2704,68.15%,
,"76 সামন্তসেনা দারুচ্ছুন্নাত ছিদ্দিকীয়া দাখিল মাদ্রাসা, সামন্তসেনা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2095,1620,173,1857,88.64%,
,"77 কাজদিয়া মডেল সরকারী প্রাথমিক বিদ্যালয়, কাজদিয়া (পুরুষ ও মহিলা ভোটকেন্দ্র)",3137,2043,184,2340,74.59%,
,"78 তিলক সরকারী প্রাথমিক বিদ্যালয়, তিলক (পুরুষ ও মহিলা ভোটকেন্দ্র)",3061,2429,33,2498,81.61%,
,"79 পাথরঘাটা এ এইচ এস মাধ্যমিক বিদ্যালয়, পাথরঘাটা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1132,723,127,887,78.36%,
,"80 উত্তর খাজাডাংগা সরকারী প্রাথমিক বিদ্যালয়, উত্তর খাজাডাংগা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1370,601,203,996,72.70%,
,"81 দক্ষিণ খাজাডংগা সরকারী প্রাথমিক বিদ্যালয়, দক্ষিণ খাজাডাংগা ও তৎসংলগ্ন খাজাডাংগা গুলবাগ হাফিজিয়া মাদ্রাসা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1436,807,197,1064,74.09%,
,"82 গিলাতলা সরকারী প্রাথমিক বিদ্যালয়, গিলাতলা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1219,806,92,949,77.85%,
,"83 সল্পবাহিরদিয়া সরকারী প্রাথমিক বিদ্যালয়, সল্পবাহিরদিয়া। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2702,2017,264,2336,86.45%,
,"84 আলাইপুর কলেজ, আলাইপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",3562,2476,198,2703,75.88%,
,"85 আনন্দনগর আদর্শ মাধ্যমিক বিদ্যালয়, আনন্দনগর। (পুরুষ ভোটকেন্দ্র)",1780,1406,5,1485,83.43%,
,"86 আনন্দনগর আদর্শ সরকারী প্রাথমিক বিদ্যালয়, আনন্দনগর। (মহিলা ভোটকেন্দ্র)",1790,1328,6,1390,77.65%,
,"87 ডোবা মাধ্যমিক বিদ্যালয়, ডোবা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2239,1967,9,1980,88.43%,
,"88 ডোবা সরকারী প্রাথমিক বিদ্যালয়, ডোবা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1893,1538,4,1542,81.46%,
,"89 চাঁদপুর দাখিল মাদ্রাসা, চাঁদপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2323,1612,191,1831,78.82%,
,"90 বামনডাংগা সরকারী প্রাথমিক বিদ্যালয়, বামনডাংগা (পুরুষ ও মহিলা ভোটকেন্দ্র)",2063,1523,206,1800,87.25%,
,"91 শিয়ালী মাধ্যমিক বিদ্যালয় (দ্বিতল ভবন), শিয়ালী। (মহিলা ভোটকেন্দ্র )",1787,1426,10,1441,80.64%,
,"92 শিয়ালী মাধ্যমিক বিদ্যালয় (টিনশেড ভবন), শিয়ালী। (পুরুষ ভোটকেন্দ্র )",1855,1598,15,1623,87.49%,
,"93 পিঠাভোগ ডি, জি,সি মাধ্যমিক বিদ্যালয়, পিঠাভোগ। (পুরুষ ও মহিলা ভোটকেন্দ্র)",3155,2292,92,2450,77.65%,
,"94 নারিকেলী চাঁদপুর সরকারী প্রাথমিক বিদ্যালয়, নারিকেলী চাঁদপুর। (পুরুষ ও মহিলা ভোটকেন্দ্র)",2585,1721,259,2100,81.24%,
,"95 সিন্দুরডাংগা সরকারী প্রাথমিক বিদ্যালয়, সিন্দুরডাংগা। (পুরুষ ও মহিলা ভোটকেন্দ্র)",1577,1120,111,1252,79.39%,
,"96 শ্রীপুর মধুসুদন মাধ্যমিক বিদ্যালয়, শ্রীপুর, আজগড়া (পুরুষ ও মহিলা ভোটকেন্দ্র)",2436,2146,0,2154,88.42%,
,"97 খাদিজাতুল কোবরা(রাঃ) মহিলা দাখিল মাদ্রাসা, শেখপুরা-খড়বাড়িয়া (পুরুষ ও মহিলা ভোটকেন্দ্র)",2772,2106,22,2184,78.79%,
